year_month,sales_rep_id,target_amount
2025-07,SR006,70000.0
2025-07,SR007,90000.0
2025-07,SR008,100000.0
2025-07,SR009,100000.0
2025-07,SR010,85000.0
2025-07,SR011,80000.0
2025-07,SR012,85000.0
2025-08,SR001,85000.0
2025-08,SR002,80000.0
2025-08,SR003,65000.0
2025-08,SR004,65000.0
2025-08,SR005,95000.0
2025-08,SR006,70000.0
2025-08,SR007,90000.0
2025-08,SR008,100000.0
2025-08,SR009,100000.0
2025-08,SR010,85000.0
2025-08,SR011,80000.0
2025-08,SR012,85000.0
2025-09,SR001,85000.0
2025-09,SR002,80000.0
2025-09,SR003,65000.0
2025-09,SR004,65000.0
2025-09,SR005,95000.0
2025-09,SR006,70000.0
2025-09,SR007,90000.0
2025-09,SR008,100000.0
2025-09,SR009,100000.0
2025-09,SR010,85000.0
2025-09,SR011,80000.0
2025-09,SR012,85000.0
2025-10,SR001,85000.0
2025-10,SR002,80000.0
2025-10,SR003,65000.0
2025-10,SR004,65000.0
2025-10,SR005,95000.0
2025-10,SR006,70000.0
2025-10,SR007,90000.0
2025-10,SR008,100000.0
2025-10,SR009,100000.0
2025-10,SR010,85000.0
2025-10,SR011,80000.0
2025-10,SR012,85000.0
2025-11,SR001,95200.0
2025-11,SR002,89600.0
2025-11,SR003,72800.0
2025-11,SR004,72800.0
2025-11,SR005,106400.0
2025-11,SR006,78400.0
2025-11,SR007,100800.0
2025-11,SR008,112000.0
2025-11,SR009,112000.0
2025-11,SR010,95200.0
2025-11,SR011,89600.0
2025-11,SR012,95200.0
2025-12,SR001,95200.0
2025-12,SR002,89600.0
2025-12,SR003,72800.0
2025-12,SR004,72800.0
2025-12,SR005,106400.0
2025-12,SR006,78400.0
2025-12,SR007,100800.0
2025-12,SR008,112000.0
2025-12,SR009,112000.0
2025-12,SR010,95200.0
2025-12,SR011,89600.0
2025-12,SR012,95200.0
2026-01,SR001,79900.0
2026-01,SR002,75200.0
2026-01,SR003,61100.0
2026-01,SR004,61100.0
2026-01,SR005,89300.0
2026-01,SR006,65800.0
2026-01,SR007,84600.0
2026-01,SR008,94000.0
2026-01,SR009,94000.0
2026-01,SR010,79900.0
2026-01,SR011,75200.0
2026-01,SR012,79900.0
2026-02,SR001,79900.0
2026-02,SR002,75200.0
2026-02,SR003,61100.0
2026-02,SR004,61100.0
2026-02,SR005,89300.0
2026-02,SR006,65800.0
2026-02,SR007,84600.0
2026-02,SR008,94000.0
2026-02,SR009,94000.0
2026-02,SR010,79900.0
2026-02,SR011,75200.0
2026-02,SR012,79900.0
2026-03,SR001,95200.0
2026-03,SR002,89600.0
2026-03,SR003,72800.0
2026-03,SR004,72800.0
2026-03,SR005,106400.0
2026-03,SR006,78400.0
2026-03,SR007,100800.0
2026-03,SR008,112000.0
2026-03,SR009,112000.0
2026-03,SR010,95200.0
2026-03,SR011,89600.0
2026-03,SR012,95200.0
2026-04,SR001,85000.0
2026-04,SR002,80000.0
2026-04,SR003,65000.0
2026-04,SR004,65000.0
2026-04,SR005,95000.0
2026-04,SR006,70000.0
2026-04,SR007,90000.0
2026-04,SR008,100000.0
2026-04,SR009,100000.0
2026-04,SR010,85000.0
2026-04,SR011,80000.0
2026-04,SR012,85000.0
2026-05,SR001,85000.0
2026-05,SR002,80000.0
2026-05,SR003,65000.0
2026-05,SR004,65000.0
2026-05,SR005,95000.0
2026-05,SR006,70000.0
2026-05,SR007,90000.0
2026-05,SR008,100000.0
2026-05,SR009,100000.0
2026-05,SR010,85000.0
2026-05,SR011,80000.0
2026-05,SR012,85000.0
2026-06,SR001,95200.0
2026-06,SR002,89600.0
2026-06,SR003,72800.0
2026-06,SR004,72800.0
2026-06,SR005,106400.0
2026-06,SR006,78400.0
2026-06,SR007,100800.0
2026-06,SR008,112000.0
2026-06,SR009,112000.0
2026-06,SR010,95200.0
2026-06,SR011,89600.0
2026-06,SR012,95200.0
