invoice_id,invoice_date,customer_id,product_id,sales_rep_id,territory,quantity,unit_price,discount,sales_amount,unit_cost,gross_profit,sales_channel,campaign_id,payment_status
INV000067,2025-12-26,C0115,P002,SR010,Southern,162,20.37,0.15,2804.95,9.86,1207.63,Pharmacy,CAM008,Paid
INV000068,2026-02-20,C0094,P017,SR006,East Malaysia,12,60.49,0,725.88,30.19,363.6,Pharmacy,,Pending
INV000069,2025-02-05,C0033,P003,SR006,East Malaysia,170,31.96,0.03,5270.2,20.33,1814.1,Hospital,,Paid
INV000070,2025-06-07,C0174,P015,SR010,Southern,100,11.13,0.05,1057.35,6.38,419.35,Hospital,CAM004,Paid
INV000071,2026-02-12,C0081,P009,SR004,Southern,34,9.93,0,337.62,6.14,128.86,Pharmacy,CAM010,Pending
INV000072,2025-05-01,C0068,P009,SR011,East Coast,59,9.93,0.15,497.99,6.14,135.73,Distributor,,Paid
INV000073,2026-05-18,C0052,P004,SR002,Kuala Lumpur,23,19.97,0.05,436.34,10.13,203.35,Clinic,,Paid
INV000074,2025-03-31,C0175,P011,SR009,Northern,21,15.5,0.05,309.22,7.06,160.96,Hospital,CAM002,Pending
INV000075,2025-06-28,C0093,P017,SR004,Southern,36,60.49,0.15,1850.99,30.19,764.15,Pharmacy,,Pending
INV000076,2025-08-31,C0127,P001,SR008,Kuala Lumpur,146,34.05,0.05,4722.73,21.72,1551.61,Pharmacy,,Overdue
INV000077,2025-05-13,C0157,P003,SR004,Southern,84,31.96,0.03,2604.1,20.33,896.38,Pharmacy,,Paid
INV000078,2026-05-06,C0135,P014,SR010,Southern,152,18.87,0,2868.24,11.75,1082.24,Clinic,,Paid
INV000079,2026-04-06,C0120,P017,SR011,East Coast,37,60.49,0.1,2014.32,30.19,897.29,Pharmacy,,Paid
INV000080,2025-07-06,C0034,P014,SR002,Kuala Lumpur,36,18.87,0.05,645.35,11.75,222.35,Pharmacy,CAM005,Paid
INV000081,2025-08-19,C0089,P017,SR007,Central,25,60.49,0.03,1466.88,30.19,712.13,Hospital,,Paid
INV000082,2025-05-09,C0161,P010,SR001,Central,133,17.45,0.05,2204.81,11.04,736.49,Pharmacy,,Paid
INV000083,2025-06-07,C0044,P011,SR001,Central,12,15.5,0,186.0,7.06,101.28,Clinic,,Pending
INV000084,2025-09-29,C0167,P007,SR009,Northern,163,53.96,0.05,8355.71,26.47,4041.1,Clinic,,Paid
INV000085,2025-10-24,C0165,P010,SR012,East Malaysia,67,17.45,0.1,1052.23,11.04,312.55,Clinic,,Paid
INV000086,2025-03-16,C0177,P002,SR004,Southern,117,20.37,0.05,2264.13,9.86,1110.51,Hospital,,Paid
INV000087,2025-05-28,C0081,P011,SR010,Southern,107,15.5,0,1658.5,7.06,903.08,Pharmacy,,Paid
INV000088,2025-11-23,C0062,P015,SR002,Kuala Lumpur,73,11.13,0.05,771.87,6.38,306.13,Pharmacy,CAM008,Paid
INV000089,2026-01-29,C0158,P014,SR004,Southern,45,18.87,0.1,764.24,11.75,235.49,Pharmacy,,Pending
INV000090,2025-07-14,C0041,P016,SR012,East Malaysia,132,23.84,0.1,2832.19,14.05,977.59,Clinic,,Paid
INV000091,2026-02-07,C0130,P015,SR004,Southern,60,11.13,0.05,634.41,6.38,251.61,Clinic,,Paid
INV000092,2025-10-16,C0127,P016,SR008,Kuala Lumpur,142,23.84,0,3385.28,14.05,1390.18,Pharmacy,CAM007,Pending
INV000093,2026-01-10,C0104,P012,SR006,East Malaysia,107,23.6,0,2525.2,11.86,1256.18,Pharmacy,,Paid
INV000094,2025-10-23,C0019,P013,SR011,East Coast,145,14.36,0.03,2019.73,8.98,717.63,Hospital,,Paid
INV000095,2025-05-02,C0033,P004,SR012,East Malaysia,100,19.97,0.08,1837.24,10.13,824.24,Hospital,,Paid
INV000096,2026-01-10,C0037,P007,SR008,Kuala Lumpur,133,53.96,0,7176.68,26.47,3656.17,Pharmacy,CAM009,Pending
INV000097,2026-06-16,C0117,P005,SR004,Southern,88,48.8,0.15,3650.24,23.91,1546.16,Distributor,,Paid
INV000098,2026-02-07,C0158,P010,SR010,Southern,134,17.45,0.1,2104.47,11.04,625.11,Pharmacy,,Paid
INV000099,2025-11-03,C0122,P001,SR012,East Malaysia,89,34.05,0.08,2788.01,21.72,854.93,Pharmacy,,Overdue
INV000100,2025-11-12,C0177,P001,SR010,Southern,72,34.05,0.15,2083.86,21.72,520.02,Hospital,,Pending
INV000101,2025-08-22,C0014,P016,SR002,Kuala Lumpur,139,23.84,0.05,3148.07,14.05,1195.12,Pharmacy,,Pending
INV000102,2025-06-01,C0175,P008,SR003,Northern,151,17.6,0.15,2258.96,7.93,1061.53,Hospital,CAM004,Paid
INV000103,2026-03-05,C0039,P014,SR001,Central,110,18.87,0.05,1971.92,11.75,679.42,Distributor,,Paid
INV000104,2025-03-05,C0036,P017,SR001,Central,148,60.49,0.03,8683.94,30.19,4215.82,Distributor,,Paid
INV000105,2025-11-18,C0045,P015,SR009,Northern,144,11.13,0.03,1554.64,6.38,635.92,Pharmacy,,Pending
INV000106,2025-09-28,C0157,P016,SR004,Southern,68,23.84,0.03,1572.49,14.05,617.09,Pharmacy,CAM007,Pending
INV000107,2025-08-01,C0177,P016,SR010,Southern,127,23.84,0.03,2936.85,14.05,1152.5,Hospital,,Pending
INV000108,2025-10-08,C0074,P004,SR012,East Malaysia,106,19.97,0.1,1905.14,10.13,831.36,Pharmacy,,Pending
INV000109,2025-10-25,C0011,P010,SR001,Central,93,17.45,0.15,1379.42,11.04,352.7,Distributor,,Pending
INV000110,2025-08-08,C0052,P018,SR008,Kuala Lumpur,148,17.27,0.08,2351.48,8.38,1111.24,Clinic,CAM005,Paid
INV000111,2026-06-28,C0058,P008,SR005,East Coast,30,17.6,0.05,501.6,7.93,263.7,Hospital,,Paid
INV000112,2025-04-13,C0175,P005,SR003,Northern,145,48.8,0.15,6014.6,23.91,2547.65,Hospital,CAM003,Paid
INV000113,2025-07-24,C0074,P011,SR012,East Malaysia,170,15.5,0,2635.0,7.06,1434.8,Pharmacy,,Paid
INV000114,2025-08-26,C0137,P002,SR001,Central,111,20.37,0.1,2034.96,9.86,940.5,Pharmacy,CAM006,Overdue
INV000115,2026-02-11,C0127,P006,SR008,Kuala Lumpur,14,28.44,0,398.16,16.3,169.96,Pharmacy,,Paid
INV000116,2025-12-10,C0073,P015,SR011,East Coast,39,11.13,0.1,390.66,6.38,141.84,Pharmacy,,Paid
INV000117,2025-04-26,C0085,P006,SR008,Kuala Lumpur,170,28.44,0.03,4689.76,16.3,1918.76,Pharmacy,CAM003,Pending
INV000118,2025-07-17,C0045,P013,SR009,Northern,136,14.36,0.03,1894.37,8.98,673.09,Pharmacy,,Paid
INV000119,2025-05-24,C0123,P011,SR006,East Malaysia,6,15.5,0.03,90.21,7.06,47.85,Clinic,CAM004,Overdue
INV000120,2025-11-06,C0150,P001,SR011,East Coast,172,34.05,0.03,5680.9,21.72,1945.06,Pharmacy,,Paid
INV000121,2025-05-02,C0120,P010,SR005,East Coast,108,17.45,0.08,1733.83,11.04,541.51,Pharmacy,,Overdue
INV000122,2025-11-15,C0177,P004,SR010,Southern,99,19.97,0.05,1878.18,10.13,875.31,Hospital,CAM008,Paid
INV000123,2026-04-11,C0156,P012,SR007,Central,145,23.6,0.1,3079.8,11.86,1360.1,Distributor,,Pending
INV000124,2025-08-12,C0064,P003,SR010,Southern,140,31.96,0.08,4116.45,20.33,1270.25,Clinic,CAM005,Paid
INV000125,2026-06-02,C0052,P018,SR002,Kuala Lumpur,47,17.27,0.03,787.34,8.38,393.48,Clinic,,Paid
INV000126,2025-07-30,C0150,P016,SR005,East Coast,135,23.84,0.05,3057.48,14.05,1160.73,Pharmacy,CAM005,Paid
INV000127,2026-04-13,C0145,P002,SR010,Southern,177,20.37,0.1,3244.94,9.86,1499.72,Pharmacy,,Paid
INV000128,2025-01-04,C0056,P003,SR003,Northern,113,31.96,0.03,3503.14,20.33,1205.85,Pharmacy,CAM001,Overdue
INV000129,2025-03-12,C0121,P002,SR009,Northern,109,20.37,0,2220.33,9.86,1145.59,Distributor,CAM002,Paid
INV000130,2026-01-27,C0115,P013,SR010,Southern,25,14.36,0.08,330.28,8.98,105.78,Pharmacy,,Paid
INV000131,2025-12-23,C0031,P006,SR007,Central,140,28.44,0,3981.6,16.3,1699.6,Pharmacy,,Pending
INV000132,2025-01-24,C0077,P015,SR008,Kuala Lumpur,141,11.13,0.03,1522.25,6.38,622.67,Hospital,CAM001,Paid
INV000133,2025-10-10,C0049,P004,SR001,Central,174,19.97,0.05,3301.04,10.13,1538.42,Pharmacy,,Pending
INV000134,2025-01-17,C0062,P007,SR002,Kuala Lumpur,30,53.96,0.05,1537.86,26.47,743.76,Pharmacy,,Paid
INV000135,2025-02-19,C0063,P002,SR008,Kuala Lumpur,117,20.37,0,2383.29,9.86,1229.67,Clinic,CAM002,Paid
INV000136,2025-10-24,C0060,P011,SR011,East Coast,65,15.5,0.03,977.27,7.06,518.37,Distributor,CAM007,Paid
INV000137,2025-10-09,C0016,P018,SR005,East Coast,165,17.27,0.08,2621.59,8.38,1238.89,Clinic,,Paid
INV000138,2025-12-19,C0165,P013,SR012,East Malaysia,111,14.36,0.05,1514.26,8.98,517.48,Clinic,CAM008,Pending
INV000139,2026-04-30,C0062,P008,SR008,Kuala Lumpur,41,17.6,0.1,649.44,7.93,324.31,Pharmacy,,Paid
INV000140,2026-03-03,C0143,P017,SR002,Kuala Lumpur,104,60.49,0,6290.96,30.19,3151.2,Clinic,CAM010,Overdue
INV000141,2026-01-15,C0024,P018,SR001,Central,18,17.27,0.03,301.53,8.38,150.69,Clinic,,Paid
INV000142,2025-03-16,C0049,P018,SR001,Central,127,17.27,0,2193.29,8.38,1129.03,Pharmacy,,Paid
INV000143,2025-01-16,C0055,P007,SR003,Northern,127,53.96,0.1,6167.63,26.47,2805.94,Hospital,,Paid
INV000144,2026-02-11,C0062,P018,SR008,Kuala Lumpur,77,17.27,0.03,1289.9,8.38,644.64,Pharmacy,,Paid
INV000145,2025-09-25,C0093,P017,SR010,Southern,124,60.49,0,7500.76,30.19,3757.2,Pharmacy,,Paid
INV000146,2025-11-24,C0053,P012,SR007,Central,110,23.6,0,2596.0,11.86,1291.4,Clinic,,Pending
INV000147,2025-01-17,C0067,P018,SR008,Kuala Lumpur,80,17.27,0,1381.6,8.38,711.2,Pharmacy,CAM001,Paid
INV000148,2025-09-09,C0128,P018,SR009,Northern,70,17.27,0.08,1112.19,8.38,525.59,Hospital,,Pending
INV000149,2026-05-18,C0118,P006,SR012,East Malaysia,48,28.44,0,1365.12,16.3,582.72,Hospital,,Paid
INV000150,2025-03-02,C0135,P002,SR004,Southern,176,20.37,0,3585.12,9.86,1849.76,Clinic,CAM002,Pending
INV000151,2025-08-25,C0018,P005,SR002,Kuala Lumpur,60,48.8,0.05,2781.6,23.91,1347.0,Hospital,,Paid
INV000152,2026-05-10,C0169,P016,SR004,Southern,6,23.84,0.05,135.89,14.05,51.59,Hospital,,Paid
INV000153,2025-01-18,C0136,P009,SR012,East Malaysia,9,9.93,0.05,84.9,6.14,29.64,Clinic,,Paid
INV000154,2025-07-03,C0028,P004,SR004,Southern,66,19.97,0,1318.02,10.13,649.44,Clinic,,Pending
INV000155,2025-10-01,C0102,P003,SR010,Southern,108,31.96,0.05,3279.1,20.33,1083.46,Pharmacy,CAM006,Paid
INV000156,2025-03-24,C0168,P002,SR003,Northern,108,20.37,0.03,2133.96,9.86,1069.08,Clinic,,Paid
INV000157,2025-01-10,C0180,P006,SR001,Central,132,28.44,0.1,3378.67,16.3,1227.07,Clinic,,Paid
INV000158,2025-04-08,C0136,P002,SR006,East Malaysia,59,20.37,0.1,1081.65,9.86,499.91,Clinic,,Paid
INV000159,2025-10-05,C0012,P003,SR008,Kuala Lumpur,144,31.96,0.05,4372.13,20.33,1444.61,Pharmacy,CAM007,Paid
INV000160,2025-08-01,C0151,P005,SR008,Kuala Lumpur,24,48.8,0.03,1136.06,23.91,562.22,Distributor,,Paid
INV000161,2026-02-03,C0174,P018,SR010,Southern,103,17.27,0.08,1636.51,8.38,773.37,Hospital,CAM009,Paid
INV000162,2025-12-21,C0014,P004,SR008,Kuala Lumpur,64,19.97,0.1,1150.27,10.13,501.95,Pharmacy,,Pending
INV000163,2026-02-11,C0084,P001,SR011,East Coast,120,34.05,0.05,3881.7,21.72,1275.3,Distributor,,Overdue
INV000164,2026-03-19,C0048,P013,SR002,Kuala Lumpur,163,14.36,0.03,2270.46,8.98,806.72,Distributor,,Paid
INV000165,2025-03-17,C0022,P009,SR006,East Malaysia,102,9.93,0.08,931.83,6.14,305.55,Hospital,,Pending
INV000166,2025-11-21,C0093,P004,SR004,Southern,6,19.97,0.15,101.85,10.13,41.07,Pharmacy,,Pending
INV000167,2025-04-15,C0034,P003,SR002,Kuala Lumpur,115,31.96,0.05,3491.63,20.33,1153.68,Pharmacy,,Paid
INV000168,2025-01-27,C0023,P012,SR005,East Coast,157,23.6,0.05,3519.94,11.86,1657.92,Clinic,CAM001,Paid
INV000169,2026-02-28,C0100,P003,SR004,Southern,151,31.96,0.05,4584.66,20.33,1514.83,Clinic,,Paid
INV000170,2025-10-03,C0078,P009,SR010,Southern,42,9.93,0,417.06,6.14,159.18,Clinic,,Paid
INV000171,2026-05-11,C0020,P012,SR007,Central,68,23.6,0.08,1476.42,11.86,669.94,Clinic,,Paid
INV000172,2026-04-14,C0028,P005,SR010,Southern,6,48.8,0.15,248.88,23.91,105.42,Clinic,CAM011,Pending
INV000173,2025-12-04,C0113,P011,SR009,Northern,171,15.5,0.15,2252.92,7.06,1045.66,Clinic,CAM008,Paid
INV000174,2025-07-25,C0123,P011,SR006,East Malaysia,106,15.5,0.15,1396.55,7.06,648.19,Clinic,CAM005,Overdue
INV000175,2025-09-06,C0084,P013,SR011,East Coast,105,14.36,0.03,1462.57,8.98,519.67,Distributor,,Paid
INV000176,2025-07-04,C0175,P018,SR003,Northern,123,17.27,0.15,1805.58,8.38,774.84,Hospital,CAM005,Pending
INV000177,2025-03-12,C0105,P016,SR006,East Malaysia,167,23.84,0.03,3861.84,14.05,1515.49,Hospital,CAM002,Paid
INV000178,2026-01-22,C0019,P015,SR011,East Coast,154,11.13,0.05,1628.32,6.38,645.8,Hospital,,Overdue
INV000179,2026-03-05,C0140,P002,SR007,Central,142,20.37,0.05,2747.91,9.86,1347.79,Clinic,,Paid
INV000180,2025-09-12,C0169,P012,SR004,Southern,170,23.6,0.05,3811.4,11.86,1795.2,Hospital,,Paid
INV000181,2026-02-14,C0085,P014,SR002,Kuala Lumpur,7,18.87,0,132.09,11.75,49.84,Pharmacy,CAM010,Paid
INV000182,2026-02-05,C0119,P017,SR001,Central,93,60.49,0.15,4781.73,30.19,1974.06,Distributor,,Paid
INV000183,2025-10-30,C0107,P003,SR004,Southern,41,31.96,0.03,1271.05,20.33,437.52,Clinic,,Pending
INV000184,2026-06-18,C0124,P012,SR007,Central,29,23.6,0.05,650.18,11.86,306.24,Hospital,,Paid
INV000185,2025-11-23,C0018,P010,SR002,Kuala Lumpur,34,17.45,0,593.3,11.04,217.94,Hospital,,Paid
INV000186,2025-06-18,C0063,P017,SR002,Kuala Lumpur,146,60.49,0,8831.54,30.19,4423.8,Clinic,,Paid
INV000187,2026-04-19,C0060,P013,SR005,East Coast,52,14.36,0.05,709.38,8.98,242.42,Distributor,,Paid
INV000188,2025-07-22,C0116,P014,SR010,Southern,6,18.87,0.08,104.16,11.75,33.66,Clinic,CAM005,Paid
INV000189,2025-07-11,C0094,P011,SR006,East Malaysia,122,15.5,0,1891.0,7.06,1029.68,Pharmacy,,Paid
INV000190,2025-11-17,C0153,P013,SR012,East Malaysia,155,14.36,0,2225.8,8.98,833.9,Clinic,,Paid
INV000191,2025-06-26,C0173,P010,SR006,East Malaysia,177,17.45,0,3088.65,11.04,1134.57,Clinic,,Paid
INV000192,2025-11-09,C0030,P006,SR011,East Coast,41,28.44,0.05,1107.74,16.3,439.44,Pharmacy,,Paid
INV000193,2025-05-22,C0148,P013,SR009,Northern,52,14.36,0.05,709.38,8.98,242.42,Pharmacy,,Pending
INV000194,2025-06-27,C0143,P006,SR008,Kuala Lumpur,78,28.44,0,2218.32,16.3,946.92,Clinic,,Paid
INV000195,2026-04-07,C0159,P002,SR007,Central,7,20.37,0.05,135.46,9.86,66.44,Pharmacy,CAM011,Overdue
INV000196,2026-06-02,C0168,P016,SR009,Northern,180,23.84,0.05,4076.64,14.05,1547.64,Clinic,,Paid
INV000197,2025-06-21,C0022,P001,SR006,East Malaysia,79,34.05,0,2689.95,21.72,974.07,Hospital,,Paid
INV000198,2025-10-23,C0044,P015,SR007,Central,145,11.13,0.05,1533.16,6.38,608.06,Clinic,,Paid
INV000199,2026-01-11,C0139,P002,SR008,Kuala Lumpur,144,20.37,0,2933.28,9.86,1513.44,Clinic,,Pending
INV000200,2025-09-11,C0077,P002,SR008,Kuala Lumpur,72,20.37,0.03,1422.64,9.86,712.72,Hospital,,Paid
INV000201,2025-05-01,C0061,P007,SR011,East Coast,161,53.96,0.05,8253.18,26.47,3991.51,Pharmacy,,Paid
INV000202,2025-05-23,C0053,P007,SR001,Central,150,53.96,0.03,7851.18,26.47,3880.68,Clinic,CAM004,Paid
INV000203,2025-10-27,C0075,P009,SR003,Northern,39,9.93,0.15,329.18,6.14,89.72,Pharmacy,,Pending
INV000204,2025-10-11,C0168,P005,SR003,Northern,68,48.8,0,3318.4,23.91,1692.52,Clinic,CAM007,Pending
INV000205,2026-02-07,C0126,P005,SR008,Kuala Lumpur,165,48.8,0.05,7649.4,23.91,3704.25,Hospital,,Paid
INV000206,2025-04-06,C0104,P017,SR012,East Malaysia,99,60.49,0.05,5689.08,30.19,2700.27,Pharmacy,,Paid
INV000207,2025-04-06,C0118,P012,SR006,East Malaysia,141,23.6,0.03,3227.77,11.86,1555.51,Hospital,,Pending
INV000208,2026-05-22,C0069,P011,SR012,East Malaysia,91,15.5,0.05,1339.97,7.06,697.51,Clinic,CAM012,Pending
INV000209,2025-02-19,C0012,P004,SR008,Kuala Lumpur,9,19.97,0,179.73,10.13,88.56,Pharmacy,,Paid
INV000210,2025-01-01,C0110,P007,SR002,Kuala Lumpur,171,53.96,0.03,8950.35,26.47,4423.98,Hospital,,Pending
INV000211,2025-04-06,C0168,P012,SR009,Northern,26,23.6,0.03,595.19,11.86,286.83,Clinic,,Paid
INV000212,2026-02-10,C0161,P010,SR001,Central,114,17.45,0.08,1830.16,11.04,571.6,Pharmacy,,Paid
INV000213,2026-05-04,C0020,P005,SR001,Central,137,48.8,0.08,6150.75,23.91,2875.08,Clinic,CAM011,Pending
INV000214,2026-03-09,C0178,P005,SR007,Central,23,48.8,0,1122.4,23.91,572.47,Hospital,CAM010,Paid
INV000215,2026-01-12,C0077,P005,SR008,Kuala Lumpur,39,48.8,0.05,1808.04,23.91,875.55,Hospital,,Paid
INV000216,2025-01-09,C0157,P006,SR010,Southern,94,28.44,0.08,2459.49,16.3,927.29,Pharmacy,,Paid
INV000217,2026-02-26,C0158,P015,SR004,Southern,27,11.13,0.1,270.46,6.38,98.2,Pharmacy,CAM010,Paid
INV000218,2026-01-29,C0090,P014,SR008,Kuala Lumpur,40,18.87,0,754.8,11.75,284.8,Hospital,,Paid
INV000219,2025-10-19,C0177,P001,SR010,Southern,57,34.05,0.05,1843.81,21.72,605.77,Hospital,,Pending
